"DATE","VISITOR_TEAM_ID","HOME_TEAM_ID","SEASON","HOME_TEAM_WINS","FGM_H","FGA_H","FGP_H","FG3M_H","FG3A_H","FG3P_H","FTM_H","FTA_H","FTP_H","OREB_H","DREB_H","REB_H","AST_H","STL_H","BLK_H","TO_H","PF_H","PTS_H","FGM_A","FGA_A","FGP_A","FG3M_A","FG3A_A","FG3P_A","FTM_A","FTA_A","FTP_A","OREB_A","DREB_A","REB_A","AST_A","STL_A","BLK_A","TO_A","PF_A","PTS_A","WIN_H","LOSE_H","RANKING_H","HOME_RECORD_H","ROAD_RECORD_H","WIN_A","LOSE_A","RANKING_A","HOME_RECORD_A","ROAD_RECORD_A"
"2011-12-25","BOS","NYK",2011,"YES",35,74,0.47,9,20,0.45,27,34,0.79,8,23,31,17,9,11,16,25,106,39,76,0.51,2,5,0.4,24,31,0.77,13,28,41,28,7,5,18,28,104,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2011-12-25","CHI","LAL",2011,"NO",36,76,0.47,4,16,0.25,11,20,0.55,12,30,42,22,6,8,17,20,87,36,89,0.4,7,15,0.47,9,14,0.64,16,25,41,21,14,4,14,21,88,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2011-12-25","LAC","GSW",2011,"NO",32,82,0.39,5,21,0.24,17,24,0.71,17,31,48,17,4,8,16,32,86,37,81,0.46,8,23,0.35,23,38,0.61,13,30,43,22,9,8,10,19,105,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2011-12-25","MIA","DAL",2011,"NO",31,82,0.38,9,28,0.32,23,30,0.77,8,23,31,23,10,0,17,29,94,38,78,0.49,4,7,0.57,25,36,0.69,15,36,51,18,9,6,22,28,105,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2011-12-25","ORL","OKC",2011,"YES",34,72,0.47,10,19,0.53,19,26,0.73,7,36,43,21,8,5,16,22,97,30,81,0.37,8,28,0.29,21,26,0.81,14,31,45,18,7,4,18,25,89,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2011-12-26","BKN","WAS",2011,"NO",31,74,0.42,1,7,0.14,21,34,0.62,8,31,39,13,8,7,11,17,84,34,86,0.4,6,26,0.23,16,20,0.8,18,40,58,17,7,3,15,26,90,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2011-12-26","CHI","GSW",2011,"YES",36,77,0.47,4,15,0.27,23,31,0.74,7,29,36,22,16,5,10,19,99,34,82,0.41,8,24,0.33,15,22,0.68,14,33,47,16,3,3,20,21,91,1,1,0.5,"1-1","0-0",1,1,0.5,"0-0","1-1"
"2011-12-26","DEN","DAL",2011,"NO",32,76,0.42,8,27,0.3,21,27,0.78,5,32,37,19,11,3,19,28,93,39,79,0.49,10,27,0.37,27,34,0.79,10,37,47,18,15,3,15,18,115,0,2,0,"0-2","0-0",1,0,1,"0-0","1-0"
"2011-12-26","DET","IND",2011,"YES",32,87,0.37,7,15,0.47,20,25,0.8,18,35,53,20,9,9,10,20,91,27,75,0.36,7,19,0.37,18,21,0.86,9,31,40,17,5,8,16,19,79,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2011-12-26","HOU","ORL",2011,"YES",44,83,0.53,9,22,0.41,7,10,0.7,6,29,35,19,1,4,11,15,104,36,82,0.44,6,27,0.22,17,20,0.85,11,30,41,26,4,5,9,17,95,1,1,0.5,"1-0","0-1",0,1,0,"0-0","0-1"
"2011-12-26","LAL","SAC",2011,"YES",35,75,0.47,9,18,0.5,21,35,0.6,10,30,40,16,4,6,11,19,100,37,88,0.42,1,16,0.06,16,19,0.84,16,29,45,21,6,6,11,25,91,1,0,1,"1-0","0-0",0,2,0,"0-1","0-1"
"2011-12-26","MEM","SAS",2011,"YES",35,88,0.4,10,33,0.3,15,22,0.68,12,25,37,23,13,5,13,20,95,34,73,0.47,3,7,0.43,11,19,0.58,9,33,42,18,9,2,24,25,82,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2011-12-26","MIL","CHA",2011,"YES",38,86,0.44,4,19,0.21,16,21,0.76,15,37,52,27,3,6,16,20,96,34,84,0.4,8,23,0.35,19,23,0.83,8,31,39,21,6,2,12,20,95,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2011-12-26","NOP","PHX",2011,"NO",32,81,0.4,5,25,0.2,15,19,0.79,12,33,45,23,9,3,14,24,84,35,79,0.44,2,16,0.12,13,21,0.62,12,35,47,10,9,5,13,22,85,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2011-12-26","OKC","MIN",2011,"NO",39,87,0.45,3,22,0.14,19,26,0.73,10,30,40,22,4,2,12,24,100,35,78,0.45,5,16,0.31,29,31,0.94,8,34,42,18,6,5,17,26,104,0,1,0,"0-1","0-0",2,0,1,"1-0","1-0"
"2011-12-26","PHI","POR",2011,"YES",40,97,0.41,9,19,0.47,18,23,0.78,17,33,50,24,11,6,12,19,107,40,83,0.48,8,19,0.42,15,19,0.79,9,38,47,21,6,7,20,25,103,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2011-12-26","TOR","CLE",2011,"NO",35,85,0.41,6,20,0.3,20,28,0.71,15,22,37,21,7,1,7,16,96,42,79,0.53,9,21,0.43,11,13,0.85,11,34,45,35,4,9,12,22,104,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2011-12-27","ATL","BKN",2011,"NO",22,71,0.31,5,24,0.21,21,26,0.81,9,27,36,9,5,5,18,22,70,38,86,0.44,12,23,0.52,18,21,0.86,17,34,51,23,11,4,12,23,106,1,1,0.5,"0-1","1-0",1,0,1,"0-0","1-0"
"2011-12-27","BOS","MIA",2011,"YES",42,75,0.56,6,10,0.6,25,35,0.71,6,32,38,22,16,8,20,22,115,37,72,0.51,12,19,0.63,21,27,0.78,4,24,28,20,9,3,24,27,107,2,0,1,"1-0","1-0",0,2,0,"0-0","0-2"
"2011-12-27","MIN","MIL",2011,"YES",40,94,0.43,2,16,0.12,16,20,0.8,16,29,45,24,13,5,12,28,98,28,70,0.4,6,14,0.43,33,45,0.73,16,38,54,14,6,0,25,24,95,1,1,0.5,"1-0","0-1",0,2,0,"0-1","0-1"
"2011-12-27","SAC","POR",2011,"YES",38,85,0.45,3,18,0.17,22,28,0.79,15,29,44,25,6,8,10,23,101,31,82,0.38,3,16,0.19,14,22,0.64,14,28,42,11,1,4,18,27,79,2,0,1,"2-0","0-0",1,1,0.5,"1-0","0-1"
"2011-12-27","UTA","LAL",2011,"YES",30,71,0.42,6,16,0.38,30,37,0.81,11,35,46,17,8,9,9,21,96,29,90,0.32,1,13,0.08,12,17,0.71,18,28,46,20,6,6,10,28,71,1,2,0.333,"1-1","0-1",0,1,0,"0-0","0-1"
"2011-12-28","BOS","NOP",2011,"YES",36,79,0.46,4,12,0.33,21,25,0.84,12,36,48,16,7,12,9,20,97,29,78,0.37,7,17,0.41,13,18,0.72,13,24,37,16,4,12,12,22,78,2,0,1,"1-0","1-0",0,3,0,"0-0","0-3"
"2011-12-28","CLE","DET",2011,"NO",36,81,0.44,9,21,0.43,8,11,0.73,10,16,26,16,11,1,16,21,89,40,70,0.57,7,12,0.58,18,22,0.82,12,28,40,28,9,3,21,15,105,0,2,0,"0-1","0-1",1,1,0.5,"0-1","1-0"
"2011-12-28","IND","TOR",2011,"NO",36,79,0.46,6,15,0.4,7,13,0.54,10,29,39,21,13,5,19,25,85,32,81,0.4,7,16,0.44,19,22,0.86,12,29,41,20,10,2,16,16,90,1,1,0.5,"0-1","1-0",2,0,1,"1-0","1-0"
"2011-12-28","LAC","SAS",2011,"YES",45,80,0.56,10,19,0.53,15,15,1,7,36,43,27,3,1,15,23,115,29,74,0.39,7,20,0.35,25,33,0.76,10,20,30,17,8,5,12,17,90,2,0,1,"2-0","0-0",1,1,0.5,"0-0","1-1"
"2011-12-28","MIA","CHA",2011,"NO",39,82,0.48,7,18,0.39,10,16,0.62,15,38,53,22,5,9,21,22,95,36,78,0.46,1,6,0.17,23,28,0.82,5,25,30,19,7,10,10,17,96,1,1,0.5,"1-1","0-0",3,0,1,"1-0","2-0"
"2011-12-28","NYK","GSW",2011,"YES",35,77,0.45,6,16,0.38,16,24,0.67,11,36,47,20,12,4,14,17,92,28,70,0.4,4,21,0.19,18,25,0.72,4,27,31,15,7,0,15,21,78,2,1,0.667,"2-1","0-0",1,1,0.5,"1-0","0-1"
"2011-12-28","OKC","MEM",2011,"NO",34,87,0.39,2,16,0.12,25,33,0.76,19,30,49,13,5,6,12,22,95,29,77,0.38,10,25,0.4,30,38,0.79,12,29,41,16,4,8,10,24,98,0,2,0,"0-1","0-1",3,0,1,"1-0","2-0"
"2011-12-28","PHI","PHX",2011,"NO",33,80,0.41,2,11,0.18,15,18,0.83,8,31,39,15,3,3,12,17,83,41,86,0.48,7,17,0.41,14,18,0.78,12,36,48,22,11,2,10,19,103,0,2,0,"0-2","0-0",1,1,0.5,"0-0","1-1"
"2011-12-28","UTA","DEN",2011,"YES",46,86,0.53,6,19,0.32,19,26,0.73,12,33,45,29,17,3,18,20,117,38,79,0.48,7,16,0.44,17,25,0.68,8,31,39,25,10,3,22,23,100,2,0,1,"1-0","1-0",0,2,0,"0-0","0-2"
"2011-12-28","WAS","ATL",2011,"YES",32,75,0.43,9,23,0.39,28,35,0.8,11,34,45,21,6,5,14,21,101,30,77,0.39,6,16,0.38,17,22,0.77,6,26,32,16,10,3,16,24,83,2,0,1,"1-0","1-0",0,2,0,"0-1","0-1"
"2011-12-29","BKN","ORL",2011,"YES",36,81,0.44,9,21,0.43,13,25,0.52,11,35,46,25,8,4,13,19,94,29,77,0.38,6,17,0.35,14,21,0.67,9,33,42,17,5,5,15,26,78,2,1,0.667,"2-0","0-1",1,2,0.333,"0-1","1-1"
"2011-12-29","CHI","SAC",2011,"NO",35,83,0.42,8,17,0.47,20,34,0.59,18,24,42,13,8,2,14,19,98,43,80,0.54,6,12,0.5,16,21,0.76,8,33,41,25,6,5,18,27,108,1,2,0.333,"1-1","0-1",2,1,0.667,"0-0","2-1"
"2011-12-29","DAL","OKC",2011,"YES",37,63,0.59,6,14,0.43,24,32,0.75,6,32,38,19,8,8,26,19,104,38,90,0.42,9,26,0.35,17,21,0.81,14,24,38,25,14,1,12,24,102,4,0,1,"2-0","2-0",0,3,0,"0-2","0-1"
"2011-12-29","DEN","POR",2011,"YES",41,79,0.52,8,20,0.4,21,23,0.91,7,43,50,20,3,9,25,25,111,35,87,0.4,4,20,0.2,28,33,0.85,3,27,30,17,16,2,7,20,102,3,0,1,"3-0","0-0",2,1,0.667,"1-0","1-1"
"2011-12-29","NYK","LAL",2011,"YES",38,73,0.52,9,16,0.56,14,22,0.64,6,34,40,23,6,7,14,28,99,21,67,0.31,6,22,0.27,34,41,0.83,9,23,32,15,11,6,12,20,82,2,2,0.5,"2-1","0-1",1,2,0.333,"1-0","0-2"
"2011-12-29","SAS","HOU",2011,"YES",43,85,0.51,9,26,0.35,10,13,0.77,13,33,46,21,7,8,11,17,105,35,93,0.38,2,17,0.12,13,20,0.65,22,24,46,12,4,7,12,10,85,1,1,0.5,"1-0","0-1",2,1,0.667,"2-0","0-1"
"2011-12-30","BKN","ATL",2011,"YES",37,77,0.48,4,15,0.27,27,38,0.71,15,23,38,22,7,6,12,15,105,38,82,0.46,9,20,0.45,13,14,0.93,15,25,40,20,7,2,13,26,98,3,0,1,"2-0","1-0",1,3,0.25,"0-1","1-2"
"2011-12-30","CHI","LAC",2011,"NO",41,80,0.51,7,15,0.47,12,20,0.6,9,22,31,26,6,3,11,22,101,39,78,0.5,7,17,0.41,29,34,0.85,15,30,45,29,4,2,12,19,114,1,2,0.333,"0-1","1-1",3,1,0.75,"0-0","3-1"
"2011-12-30","CLE","IND",2011,"YES",36,94,0.38,2,10,0.2,24,32,0.75,17,43,60,15,9,10,16,27,98,34,88,0.39,5,25,0.2,18,31,0.58,9,40,49,13,7,9,18,28,91,3,0,1,"2-0","1-0",1,2,0.333,"0-1","1-1"
"2011-12-30","DET","BOS",2011,"YES",35,67,0.52,7,16,0.44,19,19,1,5,25,30,25,4,6,10,18,96,34,79,0.43,3,16,0.19,14,15,0.93,12,23,35,18,3,0,9,14,85,1,3,0.25,"1-0","0-3",0,3,0,"0-1","0-2"
"2011-12-30","HOU","MEM",2011,"YES",45,80,0.56,0,5,0,23,33,0.7,7,35,42,23,10,7,16,19,113,34,79,0.43,11,29,0.38,14,18,0.78,6,27,33,19,9,4,19,29,93,1,2,0.333,"1-1","0-1",1,2,0.333,"1-0","0-2"
"2011-12-30","MIA","MIN",2011,"NO",39,83,0.47,11,29,0.38,12,20,0.6,12,37,49,21,11,4,25,22,101,46,93,0.49,3,14,0.21,8,14,0.57,9,33,42,29,14,6,15,21,103,0,3,0,"0-2","0-1",4,0,1,"1-0","3-0"
"2011-12-30","ORL","CHA",2011,"NO",30,83,0.36,5,15,0.33,14,18,0.78,12,29,41,19,6,3,12,23,79,37,84,0.44,12,28,0.43,14,24,0.58,14,35,49,23,3,7,11,16,100,1,2,0.333,"1-2","0-0",3,1,0.75,"2-0","1-1"
"2011-12-30","PHI","UTA",2011,"YES",35,79,0.44,6,16,0.38,26,33,0.79,9,32,41,17,8,9,11,23,102,37,77,0.48,4,13,0.31,21,29,0.72,7,33,40,19,7,3,12,22,99,1,2,0.333,"1-0","0-2",1,2,0.333,"0-0","1-2"
"2011-12-30","PHX","NOP",2011,"NO",26,90,0.29,3,14,0.21,23,28,0.82,24,33,57,14,4,5,13,24,78,33,78,0.42,7,23,0.3,20,22,0.91,10,37,47,22,3,10,10,22,93,2,1,0.667,"1-1","1-0",1,2,0.333,"0-2","1-0"
"2011-12-30","TOR","DAL",2011,"YES",32,72,0.44,7,25,0.28,28,38,0.74,7,33,40,21,11,4,10,13,99,33,72,0.46,6,14,0.43,14,18,0.78,5,33,38,20,8,1,17,23,86,1,3,0.25,"1-2","0-1",1,2,0.333,"0-1","1-1"
"2011-12-30","WAS","MIL",2011,"YES",39,73,0.53,8,20,0.4,16,25,0.64,10,40,50,26,5,7,20,19,102,30,85,0.35,7,18,0.39,14,19,0.74,9,26,35,19,9,5,14,22,81,2,1,0.667,"2-0","0-1",0,3,0,"0-1","0-2"
"2011-12-31","ATL","HOU",2011,"YES",38,82,0.46,9,19,0.47,10,13,0.77,11,34,45,26,7,6,12,18,95,35,80,0.44,4,16,0.25,10,16,0.62,6,34,40,16,4,6,12,14,84,2,2,0.5,"2-0","0-2",3,1,0.75,"2-0","1-1"
"2011-12-31","DEN","LAL",2011,"YES",39,86,0.45,2,24,0.08,12,15,0.8,14,36,50,24,6,4,19,20,92,34,80,0.42,7,26,0.27,14,22,0.64,8,28,36,22,11,5,14,17,89,3,2,0.6,"3-1","0-1",2,2,0.5,"1-0","1-2"
"2011-12-31","IND","DET",2011,"YES",39,82,0.48,8,15,0.53,10,13,0.77,10,39,49,25,4,2,18,23,96,30,76,0.39,5,15,0.33,23,28,0.82,6,30,36,17,14,5,11,19,88,1,3,0.25,"1-1","0-2",3,1,0.75,"2-0","1-1"
"2011-12-31","NYK","SAC",2011,"NO",30,86,0.35,6,22,0.27,26,41,0.63,22,29,51,15,7,2,12,22,92,40,89,0.45,10,28,0.36,24,27,0.89,17,26,43,26,7,6,12,35,114,1,3,0.25,"1-2","0-1",2,2,0.5,"1-0","1-2"
"2011-12-31","PHI","GSW",2011,"NO",34,89,0.38,4,17,0.24,7,12,0.58,16,32,48,20,7,2,14,22,79,39,79,0.49,11,20,0.55,18,31,0.58,10,38,48,29,12,6,12,17,107,2,2,0.5,"2-2","0-0",2,2,0.5,"0-0","2-2"
"2011-12-31","PHX","OKC",2011,"YES",41,77,0.53,9,22,0.41,16,18,0.89,8,37,45,25,9,6,21,27,107,35,88,0.4,8,26,0.31,19,23,0.83,13,24,37,19,9,7,12,16,97,5,0,1,"3-0","2-0",1,3,0.25,"0-2","1-1"
"2011-12-31","UTA","SAS",2011,"YES",36,74,0.49,10,16,0.62,22,31,0.71,5,41,46,26,4,5,19,21,104,33,89,0.37,2,16,0.12,21,25,0.84,14,30,44,11,13,9,7,25,89,3,1,0.75,"3-0","0-1",1,3,0.25,"1-0","0-3"
"2012-01-01","BKN","CLE",2011,"YES",38,78,0.49,16,26,0.62,6,11,0.55,10,26,36,24,11,10,20,26,98,27,71,0.38,7,22,0.32,21,28,0.75,8,24,32,16,11,6,21,16,82,2,2,0.5,"1-1","1-1",1,4,0.2,"0-1","1-3"
"2012-01-01","BOS","WAS",2011,"NO",32,78,0.41,2,16,0.12,20,23,0.87,10,29,39,15,9,8,14,21,86,37,74,0.5,5,12,0.42,15,23,0.65,8,33,41,26,7,5,16,20,94,0,4,0,"0-2","0-2",2,3,0.4,"1-0","1-3"
"2012-01-01","CHA","MIA",2011,"YES",48,80,0.6,7,11,0.64,26,31,0.84,5,42,47,33,10,3,15,18,129,35,92,0.38,6,18,0.33,14,21,0.67,11,29,40,20,9,3,16,20,90,5,0,1,"2-0","3-0",1,3,0.25,"1-2","0-1"
"2012-01-01","DAL","MIN",2011,"YES",36,85,0.42,10,22,0.45,17,24,0.71,17,37,54,15,7,3,16,17,99,29,77,0.38,7,24,0.29,17,21,0.81,6,29,35,17,11,9,17,22,82,1,3,0.25,"1-2","0-1",1,4,0.2,"1-2","0-2"
"2012-01-01","LAL","DEN",2011,"YES",33,71,0.46,2,18,0.11,31,37,0.84,5,39,44,21,9,2,15,18,99,35,88,0.4,4,23,0.17,16,24,0.67,12,32,44,19,8,4,15,28,90,3,2,0.6,"2-0","1-2",3,3,0.5,"3-1","0-2"
"2012-01-01","MEM","CHI",2011,"YES",39,84,0.46,5,13,0.38,21,29,0.72,17,38,55,24,10,12,14,15,104,26,84,0.31,1,9,0.11,11,14,0.79,14,26,40,13,10,4,16,18,64,4,1,0.8,"1-0","3-1",1,3,0.25,"1-1","0-2"
"2012-01-01","NOP","SAC",2011,"YES",35,85,0.41,8,23,0.35,18,21,0.86,12,29,41,16,12,6,10,15,96,36,89,0.4,0,15,0,8,16,0.5,22,38,60,24,4,2,19,18,80,2,3,0.4,"2-2","0-1",2,2,0.5,"1-1","1-1"
"2012-01-01","POR","LAC",2011,"YES",36,75,0.48,6,24,0.25,15,24,0.62,8,30,38,25,11,2,21,18,93,33,78,0.42,4,15,0.27,18,22,0.82,13,33,46,20,9,2,21,24,88,2,2,0.5,"1-1","1-1",3,1,0.75,"3-0","0-1"
"2012-01-01","TOR","ORL",2011,"YES",37,75,0.49,12,27,0.44,16,24,0.67,8,25,33,20,4,6,12,22,102,32,70,0.46,5,13,0.38,27,29,0.93,5,28,33,23,4,2,11,27,96,4,1,0.8,"3-0","1-1",1,3,0.25,"0-1","1-2"
