"DATE","VISITOR_TEAM_ID","HOME_TEAM_ID","SEASON","HOME_TEAM_WINS","FGM_H","FGA_H","FGP_H","FG3M_H","FG3A_H","FG3P_H","FTM_H","FTA_H","FTP_H","OREB_H","DREB_H","REB_H","AST_H","STL_H","BLK_H","TO_H","PF_H","PTS_H","FGM_A","FGA_A","FGP_A","FG3M_A","FG3A_A","FG3P_A","FTM_A","FTA_A","FTP_A","OREB_A","DREB_A","REB_A","AST_A","STL_A","BLK_A","TO_A","PF_A","PTS_A","WIN_H","LOSE_H","RANKING_H","HOME_RECORD_H","ROAD_RECORD_H","WIN_A","LOSE_A","RANKING_A","HOME_RECORD_A","ROAD_RECORD_A"
"2021-10-19","BKN","MIL",2021,"YES",48,105,0.46,17,45,0.38,14,18,0.78,13,41,54,25,8,9,7,19,127,37,84,0.44,17,32,0.53,13,23,0.57,5,39,44,19,3,9,12,17,104,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2021-10-19","GSW","LAL",2021,"NO",45,95,0.47,15,42,0.36,9,19,0.47,5,40,45,21,7,4,17,25,114,41,93,0.44,14,39,0.36,25,30,0.83,9,41,50,30,9,2,17,18,121,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2021-10-20","BOS","NYK",2021,"YES",51,105,0.49,17,45,0.38,19,27,0.7,7,48,55,27,9,10,17,22,138,48,117,0.41,21,57,0.37,17,23,0.74,15,41,56,34,13,9,18,24,134,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2021-10-20","CHI","DET",2021,"NO",36,90,0.4,6,28,0.21,10,13,0.77,11,36,47,17,7,5,16,16,88,37,86,0.43,7,23,0.3,13,15,0.87,9,39,48,18,8,5,17,19,94,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2021-10-20","CLE","MEM",2021,"YES",53,100,0.53,14,33,0.42,12,12,1,13,40,53,28,8,8,10,15,132,47,93,0.51,14,38,0.37,13,18,0.72,7,29,36,38,6,5,10,17,121,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2021-10-20","DEN","PHX",2021,"NO",36,87,0.41,14,37,0.38,12,17,0.71,11,34,45,23,9,3,18,18,98,44,83,0.53,17,39,0.44,5,9,0.56,6,40,46,25,9,1,17,20,110,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2021-10-20","HOU","MIN",2021,"YES",42,87,0.48,16,38,0.42,24,31,0.77,13,33,46,26,18,12,18,22,124,40,88,0.45,11,33,0.33,15,22,0.68,12,29,41,21,13,3,24,25,106,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2021-10-20","IND","CHA",2021,"YES",46,107,0.43,13,31,0.42,18,27,0.67,12,34,46,29,9,5,8,21,123,42,90,0.47,17,47,0.36,21,24,0.88,8,43,51,29,2,10,16,24,122,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2021-10-20","OKC","UTA",2021,"YES",40,91,0.44,14,47,0.3,13,15,0.87,12,41,53,18,6,5,10,19,107,34,91,0.37,7,35,0.2,11,18,0.61,15,35,50,19,4,2,14,15,86,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2021-10-20","ORL","SAS",2021,"YES",49,98,0.5,13,30,0.43,12,18,0.67,13,30,43,32,8,3,8,22,123,35,86,0.41,9,29,0.31,18,23,0.78,13,31,44,17,6,6,16,20,97,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2021-10-20","PHI","NOP",2021,"NO",39,93,0.42,13,30,0.43,6,9,0.67,10,34,44,28,5,6,13,16,97,44,85,0.52,13,25,0.52,16,20,0.8,6,41,47,24,9,5,12,11,117,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2021-10-20","SAC","POR",2021,"NO",45,93,0.48,12,35,0.34,19,22,0.86,9,40,49,25,5,5,12,22,121,42,92,0.46,17,41,0.41,23,29,0.79,7,36,43,24,6,4,10,22,124,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2021-10-20","WAS","TOR",2021,"NO",30,97,0.31,7,34,0.21,16,22,0.73,19,35,54,14,10,4,19,21,83,36,81,0.44,5,27,0.19,21,26,0.81,7,44,51,20,14,8,21,17,98,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2021-10-21","DAL","ATL",2021,"YES",45,94,0.48,15,35,0.43,8,9,0.89,6,49,55,31,8,9,13,16,113,31,93,0.33,13,43,0.3,12,13,0.92,10,40,50,16,7,3,15,21,87,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2021-10-21","LAC","GSW",2021,"YES",43,83,0.52,15,31,0.48,14,22,0.64,10,43,53,27,5,4,21,20,115,42,96,0.44,14,40,0.35,15,21,0.71,8,31,39,24,9,2,7,25,113,2,0,1,"1-0","1-0",0,1,0,"0-0","0-1"
