"DATE","VISITOR_TEAM_ID","HOME_TEAM_ID","SEASON","HOME_TEAM_WINS","FGM_H","FGA_H","FGP_H","FG3M_H","FG3A_H","FG3P_H","FTM_H","FTA_H","FTP_H","OREB_H","DREB_H","REB_H","AST_H","STL_H","BLK_H","TO_H","PF_H","PTS_H","FGM_A","FGA_A","FGP_A","FG3M_A","FG3A_A","FG3P_A","FTM_A","FTA_A","FTP_A","OREB_A","DREB_A","REB_A","AST_A","STL_A","BLK_A","TO_A","PF_A","PTS_A","WIN_H","LOSE_H","RANKING_H","HOME_RECORD_H","ROAD_RECORD_H","WIN_A","LOSE_A","RANKING_A","HOME_RECORD_A","ROAD_RECORD_A"
"2013-10-29","CHI","MIA",2013,"YES",37,72,0.51,11,20,0.55,22,29,0.76,5,35,40,26,10,7,18,21,107,35,83,0.42,7,26,0.27,18,23,0.78,11,30,41,23,11,4,18,27,95,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2013-10-29","LAC","LAL",2013,"YES",42,93,0.45,14,29,0.48,18,28,0.64,18,34,52,23,8,6,19,23,116,41,83,0.49,8,21,0.38,13,23,0.57,10,30,40,27,11,4,16,21,103,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2013-10-29","ORL","IND",2013,"YES",34,71,0.48,7,17,0.41,22,32,0.69,10,34,44,17,4,18,20,13,97,36,93,0.39,9,19,0.47,6,10,0.6,13,26,39,17,10,6,17,26,87,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2013-10-30","ATL","DAL",2013,"YES",44,77,0.57,11,24,0.46,19,24,0.79,7,35,42,31,7,2,20,22,118,37,76,0.49,8,24,0.33,27,35,0.77,5,28,33,27,16,5,17,20,109,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2013-10-30","BKN","CLE",2013,"YES",35,84,0.42,5,15,0.33,23,34,0.68,16,32,48,21,7,3,11,20,98,33,82,0.4,9,24,0.38,19,24,0.79,9,28,37,24,8,8,15,27,94,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2013-10-30","BOS","TOR",2013,"YES",38,86,0.44,5,17,0.29,12,23,0.52,19,29,48,15,9,6,17,25,93,32,66,0.48,3,13,0.23,20,29,0.69,7,26,33,15,10,7,22,27,87,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2013-10-30","CHA","HOU",2013,"YES",36,76,0.47,9,25,0.36,15,24,0.62,14,40,54,17,4,6,18,16,96,33,90,0.37,4,10,0.4,13,20,0.65,12,25,37,14,8,6,7,21,83,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2013-10-30","DEN","SAC",2013,"YES",33,81,0.41,8,21,0.38,16,23,0.7,11,30,41,13,8,7,14,26,90,34,79,0.43,5,15,0.33,15,17,0.88,8,33,41,19,3,11,18,21,88,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2013-10-30","IND","NOP",2013,"NO",34,85,0.4,5,11,0.45,17,21,0.81,15,28,43,17,7,5,15,29,90,30,70,0.43,10,23,0.43,25,30,0.83,6,31,37,19,5,12,16,18,95,0,1,0,"0-1","0-0",2,0,1,"1-0","1-0"
"2013-10-30","LAL","GSW",2013,"YES",46,86,0.53,15,27,0.56,18,23,0.78,7,41,48,34,8,9,15,22,125,35,89,0.39,8,18,0.44,16,21,0.76,9,30,39,19,5,4,16,22,94,1,0,1,"1-0","0-0",1,1,0.5,"1-0","0-1"
