"DATE","VISITOR_TEAM_ID","HOME_TEAM_ID","SEASON","HOME_TEAM_WINS","FGM_H","FGA_H","FGP_H","FG3M_H","FG3A_H","FG3P_H","FTM_H","FTA_H","FTP_H","OREB_H","DREB_H","REB_H","AST_H","STL_H","BLK_H","TO_H","PF_H","PTS_H","FGM_A","FGA_A","FGP_A","FG3M_A","FG3A_A","FG3P_A","FTM_A","FTA_A","FTP_A","OREB_A","DREB_A","REB_A","AST_A","STL_A","BLK_A","TO_A","PF_A","PTS_A","WIN_H","LOSE_H","RANKING_H","HOME_RECORD_H","ROAD_RECORD_H","WIN_A","LOSE_A","RANKING_A","HOME_RECORD_A","ROAD_RECORD_A"
"2020-12-22","GSW","BKN",2020,"YES",55,126,0.44,18,45,0.4,37,43,0.86,16,56,72,33,14,8,27,29,165,54,152,0.36,16,53,0.3,23,33,0.7,20,42,62,38,8,8,25,32,147,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2020-12-22","LAC","LAL",2020,"NO",59,131,0.45,17,50,0.34,39,51,0.76,12,57,69,37,6,3,28,30,174,51,112,0.46,17,50,0.34,15,22,0.68,12,38,50,33,14,4,19,36,134,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2020-12-23","ATL","CHI",2020,"NO",45,110,0.41,10,45,0.22,29,34,0.85,9,37,46,25,13,5,15,27,129,59,117,0.5,21,55,0.38,29,36,0.81,9,53,62,34,10,3,25,40,168,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2020-12-23","ATL","CHI",2020,"NO",45,110,0.41,10,45,0.22,29,34,0.85,9,37,46,25,13,5,15,27,129,59,117,0.5,21,55,0.38,29,36,0.81,9,53,62,34,10,3,25,40,168,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2020-12-23","ATL","CHI",2020,"NO",45,110,0.41,10,45,0.22,29,34,0.85,9,37,46,25,13,5,15,27,129,59,117,0.5,21,55,0.38,29,36,0.81,9,53,62,34,10,3,25,40,168,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2020-12-23","ATL","CHI",2020,"NO",45,110,0.41,10,45,0.22,29,34,0.85,9,37,46,25,13,5,15,27,129,59,117,0.5,21,55,0.38,29,36,0.81,9,53,62,34,10,3,25,40,168,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2020-12-23","CHA","CLE",2020,"YES",46,87,0.53,14,30,0.47,15,20,0.75,10,40,50,34,12,3,18,22,121,45,90,0.5,16,44,0.36,8,15,0.53,8,24,32,29,10,4,15,17,114,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2020-12-23","DAL","PHX",2020,"YES",54,112,0.48,14,41,0.34,29,39,0.74,7,55,62,30,12,7,29,35,151,37,88,0.42,9,37,0.24,21,26,0.81,7,34,41,18,7,0,13,26,104,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2020-12-23","DAL","PHX",2020,"YES",54,112,0.48,14,41,0.34,29,39,0.74,7,55,62,30,12,7,29,35,151,37,88,0.42,9,37,0.24,21,26,0.81,7,34,41,18,7,0,13,26,104,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2020-12-23","DAL","PHX",2020,"YES",54,112,0.48,14,41,0.34,29,39,0.74,7,55,62,30,12,7,29,35,151,37,88,0.42,9,37,0.24,21,26,0.81,7,34,41,18,7,0,13,26,104,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2020-12-23","DAL","PHX",2020,"YES",54,112,0.48,14,41,0.34,29,39,0.74,7,55,62,30,12,7,29,35,151,37,88,0.42,9,37,0.24,21,26,0.81,7,34,41,18,7,0,13,26,104,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2020-12-23","DET","MIN",2020,"YES",60,134,0.45,19,66,0.29,28,32,0.88,16,45,61,35,8,5,15,22,167,54,111,0.49,10,41,0.24,3,10,0.3,7,40,47,39,8,3,14,21,121,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2020-12-23","DET","MIN",2020,"YES",60,134,0.45,19,66,0.29,28,32,0.88,16,45,61,35,8,5,15,22,167,54,111,0.49,10,41,0.24,3,10,0.3,7,40,47,39,8,3,14,21,121,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2020-12-23","DET","MIN",2020,"YES",60,134,0.45,19,66,0.29,28,32,0.88,16,45,61,35,8,5,15,22,167,54,111,0.49,10,41,0.24,3,10,0.3,7,40,47,39,8,3,14,21,121,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2020-12-23","DET","MIN",2020,"YES",60,134,0.45,19,66,0.29,28,32,0.88,16,45,61,35,8,5,15,22,167,54,111,0.49,10,41,0.24,3,10,0.3,7,40,47,39,8,3,14,21,121,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2020-12-23","MIA","ORL",2020,"YES",43,91,0.47,10,29,0.34,20,32,0.62,13,33,46,25,16,3,18,19,116,44,89,0.49,8,23,0.35,16,19,0.84,7,39,46,26,13,2,22,23,112,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2020-12-23","MIA","ORL",2020,"YES",43,91,0.47,10,29,0.34,20,32,0.62,13,33,46,25,16,3,18,19,116,44,89,0.49,8,23,0.35,16,19,0.84,7,39,46,26,13,2,22,23,112,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2020-12-23","MIA","ORL",2020,"YES",43,91,0.47,10,29,0.34,20,32,0.62,13,33,46,25,16,3,18,19,116,44,89,0.49,8,23,0.35,16,19,0.84,7,39,46,26,13,2,22,23,112,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2020-12-23","MIA","ORL",2020,"YES",43,91,0.47,10,29,0.34,20,32,0.62,13,33,46,25,16,3,18,19,116,44,89,0.49,8,23,0.35,16,19,0.84,7,39,46,26,13,2,22,23,112,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2020-12-23","MIL","BOS",2020,"YES",52,109,0.48,20,46,0.43,8,11,0.73,10,30,40,26,8,6,6,18,132,47,93,0.51,14,35,0.4,16,20,0.8,12,44,56,20,4,6,17,20,124,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2020-12-23","NOP","TOR",2020,"NO",46,106,0.43,17,53,0.32,10,14,0.71,7,34,41,32,10,5,24,23,119,44,85,0.52,20,46,0.43,11,23,0.48,9,41,50,31,15,7,26,19,119,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2020-12-23","NYK","IND",2020,"YES",53,112,0.47,9,45,0.2,25,35,0.71,11,49,60,30,7,10,15,28,140,40,88,0.45,12,29,0.41,20,26,0.77,5,36,41,26,9,8,16,27,112,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2020-12-23","NYK","IND",2020,"YES",53,112,0.47,9,45,0.2,25,35,0.71,11,49,60,30,7,10,15,28,140,40,88,0.45,12,29,0.41,20,26,0.77,5,36,41,26,9,8,16,27,112,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2020-12-23","NYK","IND",2020,"YES",53,112,0.47,9,45,0.2,25,35,0.71,11,49,60,30,7,10,15,28,140,40,88,0.45,12,29,0.41,20,26,0.77,5,36,41,26,9,8,16,27,112,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2020-12-23","NYK","IND",2020,"YES",53,112,0.47,9,45,0.2,25,35,0.71,11,49,60,30,7,10,15,28,140,40,88,0.45,12,29,0.41,20,26,0.77,5,36,41,26,9,8,16,27,112,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2020-12-23","SAC","DEN",2020,"NO",54,114,0.47,9,32,0.28,21,26,0.81,10,38,48,32,8,12,15,27,138,52,123,0.42,10,35,0.29,27,37,0.73,22,51,73,28,5,9,18,37,141,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2020-12-23","SAS","MEM",2020,"NO",68,141,0.48,16,43,0.37,14,25,0.56,9,64,73,43,9,12,16,35,166,71,140,0.51,12,31,0.39,46,53,0.87,14,61,75,50,15,10,16,24,200,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2020-12-23","UTA","POR",2020,"NO",53,137,0.39,19,50,0.38,19,24,0.79,8,46,54,33,10,4,9,24,144,43,94,0.46,19,50,0.38,15,19,0.79,12,47,59,24,3,3,11,16,120,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2020-12-23","WAS","PHI",2020,"YES",49,102,0.48,9,31,0.29,25,36,0.69,11,47,58,29,14,11,20,29,132,41,91,0.45,15,30,0.5,16,23,0.7,6,40,46,29,7,5,21,32,113,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2020-12-23","WAS","PHI",2020,"YES",49,102,0.48,9,31,0.29,25,36,0.69,11,47,58,29,14,11,20,29,132,41,91,0.45,15,30,0.5,16,23,0.7,6,40,46,29,7,5,21,32,113,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2020-12-23","WAS","PHI",2020,"YES",49,102,0.48,9,31,0.29,25,36,0.69,11,47,58,29,14,11,20,29,132,41,91,0.45,15,30,0.5,16,23,0.7,6,40,46,29,7,5,21,32,113,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2020-12-23","WAS","PHI",2020,"YES",49,102,0.48,9,31,0.29,25,36,0.69,11,47,58,29,14,11,20,29,132,41,91,0.45,15,30,0.5,16,23,0.7,6,40,46,29,7,5,21,32,113,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
